videoid,contentUrl,duration,page_dir,name,dynamic_confidence,dynamic_wording,dynamic_source_category
10,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H008MSS,0-1000,Driving along a wall passing bycles in South Germany,90.0,Driving along a wall passing bycles,nature
11,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H00M23S,0-1000,Driving along a road with trees and some industrial buildings while a bus crosse in South Germany,90.0,Driving along a road with trees and some industrial buildings while a bus crosses, nature
12,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H00M14S,0-1000,Driving along a road and under a bridge in South Germany,90.0,Driving along a road and under a bridge,nature
13,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H00M30S,0-1000,Riding along a train line passing grass  in South Germany,90.0,Riding along a train line passing grass,nature
14,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H00M11S,0-1000,Driving with crossing cars in South Germany,90.0, Driving with crossing cars, nature
15,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H00M11S,0-1000,Driving on a 2 lanes country road,90.0,Driving on a 2 lanes country road, nature
16,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H00M27S,0-1000,Driving on an overland drive,90.0,Driving on an overland drive,nature
17,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H000M8S,0-1000,Driving suburban in suburbia passing bikers in South Germany,90.0,Driving suburban in suburbia passing bikers,nature
18,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H000M8S,0-1000,Driving in suburbia  with grass on the side in South Germany,90.0,Driving in suburbia  with grass on the sides,nature
19,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H00M47S,0-1000,Driving in suburbia with some traffic in South Germany,90.0,Driving in suburbia with some traffic, nature
20,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H00M19S,0-1000,Driving in suburban environment with some grass in South Germany,90.0,Driving in suburban environment with some grass in South German,nature
21,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H00M43S,0-1000,Driving forest on a single lane road in South Germany,90.0,Driving forest on a single lane road,nature
22,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H00M43S,0-1000,Driving on an empty country road,90.0, Driving on an empty country road, nature
23,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H00M39S,0-1000,Driving on a country road with some traffic in South Germany,90.0,Driving on a country road with some traffi, nature
24,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H00M13S,0-1000,Driving throuhgh a small village in South Germany,90.0,Driving throuhgh a small villag,nature
25,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H000M39S,0-1000,Driving through a residental area,90.0,Driving through a residental area,nature
26,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H00M12S,0-1000,Driving along a road with traditional houses in South Germany,90.0, Driving along a road with traditional houses, nature
27,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H00M44S,0-1000,Driving in country side some incoming traffic in South Germany,90.0,Driving in country side some incoming traffic, nature
28,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H00M29S,0-1000,Driving on tree lined road in South Germany,90.0,Driving on tree lined road, nature
30,https://ingmec.ual.es/~jlblanco/malaga-urban-dataset/extracts/malaga-urban-dataset-extract-07.zip,PT00H001M4S,0-1000,Driving by residental multifloor buildings in Malabar,90.0,Driving by residental multifloor buildings,nature
31,https://ingmec.ual.es/~jlblanco/malaga-urban-dataset/extracts/malaga-urban-dataset-extract-07.zip,PT00H01M32S,0-1000,Driving along a road countryside with construction work in Malabar,90.0, Driving by some residental blocks, nature
